"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.564685773,      -3.684683195,      -4.128631216,      -2.968308629,             0.448,      0.2544102512,      0.1333036221,                 0,                 0,                 0,     0.01955696019,      0.2514417052,      0.1388218299,                 0,      0.5239711117
          0,           0,           1,      -3.820412773,      -3.694431055,      -3.722432576,      -3.209536553,             0.448,     0.09770832779,     0.02673888434,                 0,                 0,                 0,   -0.006397083463,     0.09710177016,     0.02886401715,                 0,      0.2736602391
          0,           0,           2,      -3.755064392,      -3.666638361,      -3.686917616,       -3.15667206,             0.448,     0.07285143213,      0.0385390406,                 0,                 0,                 0,   -0.008134825933,     0.07199337072,     0.04011911497,                 0,       0.529008689
          0,           0,           3,      -3.701060846,      -3.713459103,      -3.688435298,      -3.108857812,             0.448,     0.08791993325,     0.06945809648,                 0,                 0,                 0,   -0.005582369258,      0.0863837903,     0.07135953057,                 0,       0.790015346
          0,           0,           4,      -3.648912613,      -3.677769224,      -3.655367602,      -3.059867074,             0.448,     0.06676147941,     0.06420252382,                 0,                 0,                 0,   -0.009785697838,     0.06534502131,     0.06564363936,                 0,      0.9616701785
          0,           0,           5,      -3.643790632,      -3.653958367,      -3.647623494,      -3.058853025,             0.448,     0.05352644233,     0.05964927348,                 0,                 0,                 0,    -0.01495984771,     0.05221246245,     0.06080275175,                 0,       1.114388905
          0,           0,           6,      -3.640796565,      -3.775401574,      -3.685118878,      -3.062509587,             0.448,     0.04957686993,     0.05750996896,                 0,                 0,                 0,    -0.01889726942,     0.04831049862,     0.05857779687,                 0,       1.160016133
          0,           0,           7,       -3.64444385,      -3.774469173,      -3.676275168,      -3.068288278,             0.448,     0.04500435376,     0.05397771154,                 0,                 0,                 0,    -0.02164545956,     0.04381612637,     0.05494663111,                 0,        1.19938866
          0,           0,           8,      -3.627025718,      -3.695551669,      -3.690337149,       -3.04972776,             0.448,     0.03933149954,     0.05117852852,                 0,                 0,                 0,    -0.02324730824,     0.03820568599,     0.05202436155,                 0,       1.301209695
          0,           0,           9,      -3.641779494,      -3.732303183,      -3.696529191,      -3.067975197,             0.448,     0.03470853677,     0.04904699303,                 0,                 0,                 0,    -0.02405761628,     0.03363032257,     0.04979248391,                 0,       1.413110364
          0,           0,          10,      -3.649083164,      -3.789166012,      -3.724360539,      -3.079302924,             0.448,     0.03145617085,     0.04720948198,                 0,                 0,                 0,    -0.02434115922,     0.03041881571,     0.04788446016,                 0,       1.500801932
          0,           0,          11,      -3.655805179,      -3.814861013,      -3.748880075,      -3.088365122,             0.448,     0.02843162875,     0.04562790137,                 0,                 0,                 0,    -0.02421125463,     0.02742949537,     0.04623727587,                 0,       1.604828966
          0,           0,          12,      -3.661095356,      -3.826070022,      -3.759808866,      -3.094142916,             0.448,     0.02517450848,     0.04396033169,                 0,                 0,                 0,     -0.0240215786,     0.02420952805,     0.04449904933,                 0,       1.746224031
          0,           0,          13,      -3.664298922,      -3.832238979,      -3.769489849,      -3.095886163,             0.448,      0.0219741298,     0.04230953413,                 0,                 0,                 0,    -0.02395213604,     0.02104592293,     0.04277882872,                 0,       1.925424784
          0,           0,          14,      -3.672673511,      -3.841829819,      -3.780799327,      -3.102128541,             0.448,     0.01900116931,     0.04103666987,                 0,                 0,                 0,    -0.02391843684,     0.01810143732,     0.04144141258,                 0,       2.159691816
          0,           0,          15,       -3.68349068,      -3.853982297,      -3.797473343,      -3.111150051,             0.448,      0.0161767003,     0.04007031006,                 0,                 0,                 0,    -0.02390395094,     0.01529872148,     0.04041366727,                 0,       2.477038538
          0,           0,          16,      -3.694915742,      -3.863059841,      -3.819426534,      -3.122125405,             0.448,     0.01340295627,     0.03926818424,                 0,                 0,                 0,    -0.02389953685,     0.01254313581,     0.03955122343,                 0,       2.929815143
          0,           0,          17,      -3.707744879,      -3.866475305,      -3.842766359,      -3.136077567,             0.448,     0.01064034434,     0.03863501649,                 0,                 0,                 0,    -0.02387605409,    0.009794993781,     0.03885794029,                 0,       3.630993064
          0,           0,          18,      -3.722279698,       -3.86559442,      -3.866588566,      -3.152561176,             0.448,    0.007876957859,     0.03801943443,                 0,                 0,                 0,     -0.0239064564,    0.007045693765,     0.03818222176,                 0,       4.826664698
          0,           0,          19,      -3.739710219,      -3.865252416,      -3.893108073,      -3.171836371,             0.448,    0.005142129458,     0.03719147528,                 0,                 0,                 0,    -0.02408213279,    0.004329578013,     0.03729479968,                 0,       7.232699134
          0,           0,          20,       -3.76114485,       -3.87023625,      -3.923881062,       -3.19451137,             0.448,    0.002531861144,     0.03615252293,                 0,                 0,                 0,    -0.02437265226,    0.001742595498,     0.03619915187,                 0,       14.27903067
          0,           0,          21,      -3.784730515,      -3.881977375,      -3.957985916,      -3.218635319,             0.448,   0.0001793115654,     0.03523541917,                 0,                 0,                 0,    -0.02461814984,  -0.0005893877242,     0.03523094576,                 0,       196.5038847
          0,           0,          22,      -3.807136352,      -3.898898069,      -3.992025377,      -3.241035935,             0.448,   -0.001801050144,     0.03481530261,                 0,                 0,                 0,    -0.02471475736,   -0.002560113367,     0.03476772781,                 0,      -19.33055708
          0,           0,          23,       -3.82728051,      -3.918082613,      -4.022522322,      -3.260911757,             0.448,   -0.003349135839,     0.03482911394,                 0,                 0,                 0,    -0.02475253246,   -0.004108131952,     0.03474776454,                 0,      -10.39943305
          0,           0,          24,      -3.846455878,      -3.936807759,      -4.048147255,      -3.279687334,             0.448,   -0.004360855918,     0.03556026081,                 0,                 0,                 0,     -0.0246437177,   -0.005135561153,     0.03545666686,                 0,      -8.154422317
          0,           0,          25,      -3.865265504,      -3.954337601,      -4.070407809,      -3.298057855,             0.448,   -0.004837414086,     0.03682654437,                 0,                 0,                 0,    -0.02450168526,   -0.005639629744,     0.03671225302,                 0,      -7.612857556
          0,           0,          26,      -3.884952508,      -3.972550461,      -4.091908333,      -3.317367653,             0.448,   -0.004822765842,     0.03829088754,                 0,                 0,                 0,    -0.02447668046,   -0.005656929464,     0.03817656727,                 0,      -7.939611583
