"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.507347849,      -3.651582639,      -4.059729219,      -2.910970705,             0.448,       0.312109861,      0.1089481731,                 0,                 0,                 0,     0.01389175152,      0.3096588955,      0.1157308871,                 0,      0.3490699485
          0,           0,           1,      -3.783685662,      -3.653327453,      -3.685106136,      -3.172782804,             0.448,      0.1198753231,    0.006482400892,                 0,                 0,                 0,    -0.01413044577,      0.1197053832,    0.009095924648,                 0,     0.05407619121
          0,           0,           2,      -3.710405127,      -3.621680658,      -3.640252252,      -3.111800579,             0.448,     0.09185417035,     0.02182303833,                 0,                 0,                 0,     -0.0189334883,     0.09135624447,     0.02382163321,                 0,      0.2375835332
          0,           0,           3,      -3.657833189,      -3.673653214,      -3.642355862,      -3.065997011,             0.448,       0.105455882,     0.04681875741,                 0,                 0,                 0,    -0.01660334156,      0.1044094406,     0.04910812375,                 0,      0.4439653484
          0,           0,           4,      -3.599296316,      -3.624760006,      -3.609070982,      -3.010421577,             0.448,     0.08053198439,     0.03525071178,                 0,                 0,                 0,    -0.02366232746,     0.07974382974,     0.03699911904,                 0,      0.4377231238
          0,           0,           5,      -3.591643665,      -3.591887113,      -3.596015326,        -3.0066391,             0.448,     0.06758112704,     0.02590367716,                 0,                 0,                 0,     -0.0312585115,     0.06699995882,     0.02737178731,                 0,      0.3832975018
          0,           0,           6,      -3.591656006,      -3.720990518,      -3.631482944,       -3.01395928,             0.448,     0.06358126006,     0.01807944853,                 0,                 0,                 0,    -0.03657920122,     0.06317172835,     0.01946216399,                 0,      0.2843518438
          0,           0,           7,      -3.594470935,      -3.706568838,      -3.624961516,       -3.01869697,             0.448,     0.05863332982,     0.00905351722,                 0,                 0,                 0,    -0.04068127493,     0.05842187524,     0.01033044208,                 0,      0.1544090579
          0,           0,           8,      -3.574383469,      -3.619666256,      -3.642209511,       -2.99676295,             0.448,     0.05319092027,    0.001459572805,                 0,                 0,                 0,    -0.04331062528,     0.05314642186,    0.002619579277,                 0,     0.02744026232
          0,           0,           9,      -3.591679609,      -3.657002171,      -3.647351498,      -3.017384958,             0.448,     0.04896512358,   -0.005517489739,                 0,                 0,                 0,     -0.0448769855,     0.04907383461,   -0.004448008184,                 0,     -0.1126820344
