"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.394899       , 0.001           
1               , -0.259683       , 0.001           
2               , -0.141902       , 0.001           
3               , -0.0591994      , 0.001           
4               , -0.0134291      , 0.001           
5               , -0.000353882    , 0.001           
6               , -0.0114113      , 0.001           
7               , -0.0349509      , 0.001           
8               , -0.0584408      , 0.001           
9               , -0.0717257      , 0.001           
10              , -0.0703712      , 0.001           
11              , -0.0573022      , 0.001           
12              , -0.0409927      , 0.001           
13              , -0.0302088      , 0.001           
14              , -0.0285032      , 0.001           
15              , -0.0334313      , 0.001           
16              , -0.0414386      , 0.001           
17              , -0.0515284      , 0.001           
18              , -0.0686604      , 0.001           
19              , -0.265479       , 0.001           
20              , 0.0505014       , 0.001           
21              , 0.17061         , 0.001           
22              , 0.169657        , 0.001           
23              , 0.102387        , 0.001           
24              , 0.00815663      , 0.001           
25              , -0.0854059      , 0.001           
26              , -0.159528       , 0.001           
27              , -0.202156       , 0.001           
28              , -0.206955       , 0.001           
29              , -0.173862       , 0.001           
30              , -0.110924       , 0.001           
31              , -0.0355899      , 0.001           
32              , 0.0283406       , 0.001           
33              , 0.0616291       , 0.001           
34              , 0.0640133       , 0.001           
35              , 0.0547594       , 0.001           
36              , 0.051264        , 0.001           
37              , 0.0637271       , 0.001           
