"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.287992442,      -4.032228346,      -4.498403176,      -3.974017804
          0,           0,           1,      -3.860282595,      -3.752762279,      -3.730039948,      -4.203299494
          0,           0,           2,      -3.577217854,      -3.482771077,      -3.610669741,      -4.052702956
          0,           0,           3,      -3.567901349,      -3.436163165,      -3.691458629,      -4.058467967
          0,           0,           4,      -3.488228986,      -3.313999679,      -3.658969007,      -3.995479569
          0,           0,           5,      -3.504733865,      -3.298198336,      -3.697455221,      -4.000057287
          0,           0,           6,      -3.511542629,      -3.286556197,      -3.714552377,      -3.967785127
          0,           0,           7,      -3.532976486,      -3.291018883,      -3.721593922,      -3.946830837
          0,           0,           8,      -3.562851873,      -3.312097134,      -3.750355698,      -3.969829087
          0,           0,           9,      -3.592261474,      -3.344410033,      -3.780100958,      -4.006483411
          0,           0,          10,      -3.619508516,      -3.383774525,      -3.809550599,      -4.038778779
          0,           0,          11,      -3.644895469,      -3.427902742,      -3.836863424,      -4.071720685
          0,           0,          12,       -3.66642837,      -3.472205782,      -3.855456944,      -4.106074951
          0,           0,          13,      -3.679412126,      -3.504240305,      -3.864163678,      -4.130758463
          0,           0,          14,      -3.677298936,      -3.511651104,      -3.865335319,      -4.138572139
          0,           0,          15,      -3.660762881,      -3.495135433,      -3.862163297,      -4.133227729
          0,           0,          16,      -3.638857661,      -3.467026986,      -3.859515385,      -4.122021554
          0,           0,          17,      -3.620521371,      -3.439766707,      -3.862355052,      -4.111720781
          0,           0,          18,      -3.611105549,      -3.420561248,      -3.873463599,      -4.107556943
          0,           0,          19,      -3.613139418,      -3.412296336,       -3.89245957,      -4.112489069
          0,           0,          20,      -3.627107181,      -3.415414251,      -3.916204115,      -4.127219547
          0,           0,          21,      -3.651801373,      -3.429132842,      -3.940351408,      -4.150805044
          0,           0,          22,      -3.684554031,       -3.45209957,      -3.961527463,      -4.181355358
          0,           0,          23,      -3.721316158,      -3.482504465,      -3.979474965,       -4.21691797
          0,           0,          24,       -3.75325049,      -3.515123578,      -3.989435294,       -4.24532322
          0,           0,          25,      -3.784338763,      -3.553782903,      -4.002650371,      -4.282138886
          0,           0,          26,      -3.812522644,      -3.594768365,      -4.028997573,      -4.320395943
          0,           0,          27,       -3.84131777,       -3.63902715,      -4.057733565,      -4.361074198
          0,           0,          28,       -3.86847588,      -3.680976143,      -4.095055509,        -4.4041385
          0,           0,          29,      -3.895736202,      -3.717325533,      -4.143756678,      -4.445769913
          0,           0,          30,      -3.924688266,      -3.747465637,      -4.196870046,      -4.484843718
          0,           0,          31,      -3.955273003,       -3.77129508,      -4.249886148,      -4.519264695
          0,           0,          32,      -3.988666124,      -3.791926734,      -4.298716164,      -4.548571178
          0,           0,          33,      -4.025735987,      -3.813650347,      -4.337582915,      -4.574507079
          0,           0,          34,      -4.066360788,      -3.839630393,      -4.366022212,      -4.600087962
          0,           0,          35,      -4.101589836,      -3.865012653,      -4.373550748,       -4.60898189
          0,           0,          36,      -4.140683977,      -3.901239005,       -4.39137374,      -4.644382956
          0,           0,          37,      -4.180808374,      -3.944202446,      -4.418180609,      -4.677906293
          0,           0,          38,      -4.220066555,      -3.995211683,      -4.444139003,      -4.719569432
          0,           0,          39,       -4.25333776,      -4.045879206,      -4.482320305,      -4.767722757
          0,           0,          40,      -4.283032194,      -4.090619796,      -4.531792352,      -4.812786102
          0,           0,          41,      -4.310173079,      -4.125707006,       -4.58525639,      -4.853965118
          0,           0,          42,       -4.33656485,      -4.149861502,      -4.642555926,      -4.888582824
          0,           0,          43,      -4.366500031,      -4.168018464,      -4.699187821,      -4.916526281
          0,           0,          44,      -4.402940114,       -4.18682338,      -4.746792862,      -4.942369976
          0,           0,          45,      -4.435565468,      -4.200817202,       -4.75627399,      -4.941552989
          0,           0,          46,      -4.476779098,      -4.228129639,      -4.770194316,      -4.971857211
          0,           0,          47,      -4.519923779,      -4.262515139,      -4.788215241,      -4.998850698
          0,           0,          48,      -4.566397678,      -4.309552849,      -4.801891049,      -5.034955976
          0,           0,          49,      -4.609860097,      -4.363493933,      -4.825225714,      -5.082396809
          0,           0,          50,      -4.648074466,      -4.417507383,      -4.862737584,      -5.129830645
          0,           0,          51,      -4.680042698,      -4.465816331,      -4.910951777,      -5.176148135
          0,           0,          52,      -4.707648963,      -4.503435133,      -4.968515053,      -5.218349271
          0,           0,          53,      -4.736193387,      -4.531001702,      -5.031177857,      -5.254286925
          0,           0,          54,      -4.769694238,        -4.5537584,      -5.090780671,      -5.285861251
          0,           0,          55,      -4.809849055,      -4.577500596,      -5.140509029,       -5.31763524
          0,           0,          56,      -4.845143231,      -4.596815826,      -5.146800664,      -5.323856243
