"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.268456978,      -4.017023839,      -4.468230675,      -3.955440647
          0,           0,           1,       -3.84248035,      -3.732791549,      -3.713268614,      -4.185212685
          0,           0,           2,      -3.558350345,      -3.462938532,      -3.592350369,      -4.033237764
          0,           0,           3,      -3.548879379,      -3.414754429,      -3.675569887,      -4.041162025
          0,           0,           4,      -3.469647475,      -3.292492175,      -3.643235664,      -3.979383857
          0,           0,           5,      -3.484911874,      -3.274292093,      -3.679805898,       -3.97749052
          0,           0,           6,      -3.490660432,      -3.261106502,      -3.693206933,      -3.944615368
          0,           0,           7,      -3.510689996,      -3.263878938,      -3.699803275,      -3.922347554
          0,           0,           8,      -3.539618484,      -3.283372918,      -3.727307321,      -3.943159011
          0,           0,           9,      -3.568530082,      -3.314371176,      -3.755297055,      -3.978747046
          0,           0,          10,      -3.595336116,      -3.352868648,      -3.783736878,      -4.010995815
          0,           0,          11,      -3.620617589,      -3.396794887,      -3.811385278,      -4.044305088
          0,           0,          12,      -3.643127854,      -3.442260913,        -3.8313403,      -4.079941313
          0,           0,          13,      -3.658384031,      -3.477879679,      -3.841506357,      -4.107444503
          0,           0,          14,      -3.659120741,      -3.490607359,      -3.844117332,      -4.118881879
          0,           0,          15,      -3.644757012,      -3.478594347,      -3.842428113,      -4.116585817
          0,           0,          16,      -3.623816285,       -3.45275127,      -3.841023089,      -4.107139713
          0,           0,          17,      -3.605518445,      -3.425926319,      -3.844730868,      -4.097411157
          0,           0,          18,      -3.595641622,      -3.406140217,      -3.856417333,      -4.093053586
          0,           0,          19,      -3.597000644,      -3.396804076,      -3.875832133,      -4.097384242
          0,           0,          20,      -3.610244367,      -3.398626354,      -3.899914796,      -4.111311917
          0,           0,          21,      -3.634297813,      -3.410979401,      -3.924339142,      -4.133993312
          0,           0,          22,      -3.666682419,      -3.432658612,       -3.94571163,      -4.163588033
          0,           0,          23,      -3.703785911,      -3.462186057,      -3.963614258,      -4.198185216
          0,           0,          24,      -3.737652007,      -3.494995231,      -3.976682985,      -4.230117563
          0,           0,          25,      -3.769770444,      -3.533350588,      -3.986515701,      -4.262724601
          0,           0,          26,      -3.799614246,      -3.575055877,       -4.01316983,      -4.302324289
          0,           0,          27,      -3.830935642,       -3.62112289,      -4.043050679,      -4.344305456
          0,           0,          28,      -3.859910544,      -3.665407992,      -4.079276548,      -4.389125172
          0,           0,          29,      -3.887700179,      -3.703113762,      -4.128079296,      -4.432062872
          0,           0,          30,      -3.916677579,      -3.733739745,      -4.182009619,      -4.472332467
          0,           0,          31,      -3.946013588,      -3.756240718,      -4.235755323,      -4.507146777
          0,           0,          32,      -3.977302117,      -3.773708365,      -4.286893916,      -4.535297963
          0,           0,          33,      -4.012338543,      -3.791434474,      -4.328841079,      -4.559232527
          0,           0,          34,      -4.051733057,      -3.813371798,      -4.359741265,      -4.582529564
          0,           0,          35,      -4.088435981,      -3.835747307,       -4.37202178,      -4.594616416
          0,           0,          36,       -4.12693588,      -3.867662055,      -4.383441426,      -4.619667761
          0,           0,          37,      -4.169195535,      -3.907590422,      -4.409448319,      -4.650528396
          0,           0,          38,      -4.215361267,      -3.959365175,      -4.434609275,      -4.691495956
          0,           0,          39,      -4.256683638,      -4.015334479,       -4.46986535,      -4.742230059
          0,           0,          40,      -4.294026227,        -4.0687596,      -4.519174161,      -4.790490958
          0,           0,          41,      -4.328967261,      -4.116383403,      -4.573712813,      -4.838368293
          0,           0,          42,      -4.360034161,      -4.152847229,      -4.633209645,      -4.883002768
          0,           0,          43,      -4.391335068,      -4.178557244,      -4.698072904,      -4.919068201
          0,           0,          44,       -4.42765693,      -4.200127762,      -4.758241801,       -4.94922986
          0,           0,          45,      -4.463634546,      -4.216327292,      -4.787280981,      -4.965339641
          0,           0,          46,      -4.502514253,      -4.239270015,      -4.804224827,       -4.98231541
          0,           0,          47,      -4.545626243,      -4.269324622,      -4.823128777,      -5.006174845
          0,           0,          48,      -4.595798384,       -4.31353973,      -4.838705439,      -5.040170942
          0,           0,          49,      -4.645341141,      -4.368112617,       -4.85893152,      -5.087875237
          0,           0,          50,      -4.691227017,      -4.425911808,      -4.893443923,      -5.135217062
          0,           0,          51,      -4.733028153,      -4.483441517,      -4.938844911,      -5.185047802
          0,           0,          52,      -4.767910402,      -4.534100002,      -4.993184165,      -5.236477996
          0,           0,          53,      -4.799454832,      -4.572301666,      -5.057715018,      -5.281166102
          0,           0,          54,      -4.833724103,      -4.600472369,      -5.124635121,      -5.318198243
          0,           0,          55,      -4.873828035,      -4.624953509,      -5.185790367,      -5.352823075
          0,           0,          56,      -4.913427261,      -4.644240081,      -5.218333043,      -5.376227042
          0,           0,          57,      -4.956027765,      -4.669511216,      -5.231956567,       -5.39810035
          0,           0,          58,      -4.998719657,      -4.701077121,      -5.251260745,      -5.429349449
          0,           0,          59,      -5.046123329,      -4.746054096,      -5.265208908,       -5.46995873
          0,           0,          60,       -5.09186612,       -4.80039336,      -5.280490739,      -5.521134665
          0,           0,          61,      -5.128940812,      -4.853796743,      -5.310479539,      -5.569319603
          0,           0,          62,      -5.157953035,      -4.900695351,      -5.350286569,      -5.615699571
          0,           0,          63,       -5.17891717,      -4.934093014,      -5.393624851,      -5.657147438
          0,           0,          64,      -5.196265894,      -4.950979692,      -5.441726192,      -5.686491207
          0,           0,          65,      -5.215607947,      -4.957748392,      -5.490584555,      -5.706804627
          0,           0,          66,      -5.240010842,      -4.962685894,      -5.536350726,      -5.725379143
          0,           0,          67,      -5.269763916,      -4.970277048,        -5.5769499,        -5.7484198
          0,           0,          68,      -5.295803846,      -4.977652844,      -5.573862607,      -5.736521442
          0,           0,          69,      -5.327015943,      -4.995515545,      -5.582110409,      -5.755486264
          0,           0,          70,      -5.364250436,      -5.023917265,      -5.595867664,      -5.782084768
          0,           0,          71,      -5.412094269,        -5.0666013,       -5.60689216,      -5.818979857
          0,           0,          72,      -5.464526655,      -5.119730975,      -5.625609042,      -5.865249466
          0,           0,          73,      -5.516352941,      -5.179329556,      -5.655420566,      -5.918961203
          0,           0,          74,      -5.561887699,      -5.240184958,      -5.693567475,      -5.975880617
          0,           0,          75,      -5.596827049,      -5.294011192,      -5.738924383,      -6.028329918
          0,           0,          76,      -5.621510327,      -5.333785709,      -5.788810856,      -6.072846509
          0,           0,          77,      -5.638390489,      -5.356698521,      -5.841815402,      -6.107525254
          0,           0,          78,      -5.651533141,      -5.365914162,      -5.896551227,      -6.130630894
          0,           0,          79,      -5.665581555,      -5.368941065,      -5.948351959,      -6.144819868
          0,           0,          80,      -5.683999288,       -5.37305604,      -5.990867176,      -6.156319441
          0,           0,          81,      -5.708056296,       -5.38252272,      -6.019661919,      -6.170681196
          0,           0,          82,      -5.733484166,      -5.396618278,      -6.025917647,      -6.184719907
          0,           0,          83,      -5.754268733,      -5.413795513,       -6.01531618,      -6.188990377
          0,           0,          84,       -5.77886127,      -5.439669417,      -6.015075847,      -6.208296664
          0,           0,          85,      -5.812627595,      -5.476837774,      -6.026015178,      -6.240569499
          0,           0,          86,      -5.856511065,      -5.526400243,      -6.044532196,      -6.285873836
          0,           0,          87,      -5.906202596,      -5.584459833,      -6.074028637,      -6.339504811
          0,           0,          88,      -5.957479417,       -5.64670603,       -6.11568268,      -6.397554476
          0,           0,          89,      -6.006580769,      -5.709241288,      -6.167561969,      -6.458043383
          0,           0,          90,      -6.050864587,      -5.767100585,      -6.228686325,      -6.516633629
          0,           0,          91,       -6.09080584,      -5.816762174,      -6.297214301,      -6.570196916
          0,           0,          92,      -6.128547306,       -5.85802236,      -6.369155834,       -6.61777663
          0,           0,          93,      -6.166535577,      -5.893698805,      -6.439099898,      -6.660079295
          0,           0,          94,      -6.207123137,      -5.927928048,       -6.50229501,      -6.701579784
          0,           0,          95,      -6.240197455,      -5.957287108,      -6.518643844,      -6.711268291
          0,           0,          96,      -6.273582508,      -5.991828351,      -6.532011919,      -6.741090778
          0,           0,          97,      -6.306218559,      -6.031876314,      -6.544034338,      -6.773478421
