"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.409187       , 0.001           
1               , -0.256162       , 0.001           
2               , -0.133226       , 0.001           
3               , -0.0591434      , 0.001           
4               , -0.031353       , 0.001           
5               , -0.0384937      , 0.001           
6               , -0.0645687      , 0.001           
7               , -0.0926096      , 0.001           
8               , -0.108776       , 0.001           
9               , -0.106151       , 0.001           
10              , -0.0867197      , 0.001           
11              , -0.0599662      , 0.001           
12              , -0.0377623      , 0.001           
13              , -0.0276682      , 0.001           
14              , -0.0292235      , 0.001           
15              , -0.0368588      , 0.001           
16              , -0.0466321      , 0.001           
17              , -0.058183       , 0.001           
18              , -0.0771442      , 0.001           
19              , -0.443027       , 0.001           
20              , -0.0911964      , 0.001           
21              , 0.119652        , 0.001           
22              , 0.223976        , 0.001           
23              , 0.252267        , 0.001           
24              , 0.229103        , 0.001           
25              , 0.174136        , 0.001           
26              , 0.103347        , 0.001           
27              , 0.0304313       , 0.001           
28              , -0.0320984      , 0.001           
29              , -0.0728263      , 0.001           
30              , -0.0832802      , 0.001           
31              , -0.0620523      , 0.001           
32              , -0.0193831      , 0.001           
33              , 0.0234534       , 0.001           
34              , 0.0466862       , 0.001           
35              , 0.0504854       , 0.001           
36              , 0.0524843       , 0.001           
37              , 0.0705209       , 0.001           
