"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.581345727,      -3.698349162,      -4.145838238,      -2.984968583,             0.448,      0.2407171132,      0.1401736762,                 0,                 0,                 0,     0.01642530722,      0.2376019564,      0.1453915348,                 0,      0.5823170375
          0,           0,           1,       -3.83373584,      -3.708487672,      -3.735661727,      -3.222809078,             0.448,     0.09245196012,     0.03009315813,                 0,                 0,                 0,   -0.006982829619,     0.09177348028,     0.03210282566,                 0,       0.325500488
          0,           0,           2,      -3.768590672,      -3.680329101,      -3.700695585,      -3.170202683,             0.448,     0.06811477146,     0.03872347053,                 0,                 0,                 0,   -0.008468101923,     0.06725381393,      0.0402001713,                 0,      0.5685032732
          0,           0,           3,      -3.714039464,      -3.724733508,      -3.702056077,       -3.12166858,             0.448,     0.08299601971,     0.07132447179,                 0,                 0,                 0,   -0.006376611287,     0.08142033375,     0.07311804712,                 0,      0.8593721968
          0,           0,           4,      -3.663352697,      -3.692493061,      -3.668821727,      -3.074182996,             0.448,     0.06273116461,     0.06682840286,                 0,                 0,                 0,      -0.010110303,     0.06125838236,     0.06818097265,                 0,       1.065314239
          0,           0,           5,       -3.65860885,      -3.669988429,      -3.662072442,      -3.073534984,             0.448,     0.04948403756,     0.06248236801,                 0,                 0,                 0,    -0.01493927558,     0.04810921603,     0.06354698749,                 0,       1.262677241
          0,           0,           6,      -3.655039034,        -3.7886503,      -3.699968105,      -3.076449193,             0.448,     0.04547737716,     0.06121827272,                 0,                 0,                 0,    -0.01873453728,     0.04413108519,     0.06219578819,                 0,       1.346125844
          0,           0,           7,      -3.659255306,      -3.791441963,      -3.690716458,      -3.082862622,             0.448,     0.04094993877,     0.05844491218,                 0,                 0,                 0,    -0.02143378614,     0.03966522475,     0.05932432208,                 0,       1.427228317
          0,           0,           8,       -3.64220742,      -3.714629029,      -3.704559314,      -3.064819477,             0.448,     0.03524247252,     0.05618113961,                 0,                 0,                 0,    -0.02315735093,     0.03400850067,     0.05693658051,                 0,       1.594131614
          0,           0,           9,      -3.656732707,      -3.751821711,      -3.710603846,      -3.082886477,             0.448,     0.03054240668,     0.05473303662,                 0,                 0,                 0,     -0.0242270132,     0.02934114351,     0.05538629073,                 0,       1.792034177
